3.886967500e+01 1.943483750e-02 2.489907798e-02 1.250000000e-02
3.867435000e+01 1.933717500e-02 2.469121267e-02 1.250000000e-02
3.789305000e+01 1.894652500e-02 2.483790454e-02 1.250000000e-02
3.828370000e+01 1.914185000e-02 2.482756729e-02 1.250000000e-02
3.652577500e+01 1.826288750e-02 2.483841733e-02 1.250000000e-02
3.222862500e+01 1.611431250e-02 2.480061534e-02 1.250000000e-02
2.812680000e+01 1.406340000e-02 2.478519726e-02 1.250000000e-02
2.441562500e+01 1.220781250e-02 2.471458181e-02 1.250000000e-02
3.847902500e+01 1.923951250e-02 2.475477045e-02 1.250000000e-02
3.886967500e+01 1.943483750e-02 2.487772074e-02 1.250000000e-02
4.062760000e+01 2.031380000e-02 2.465776202e-02 1.250000000e-02
2.832212500e+01 1.416106250e-02 2.496070331e-02 1.250000000e-02
3.926032500e+01 1.963016250e-02 2.480970360e-02 1.250000000e-02
3.867435000e+01 1.933717500e-02 2.478627449e-02 1.250000000e-02
3.867435000e+01 1.933717500e-02 2.482930745e-02 1.250000000e-02
3.691642500e+01 1.845821250e-02 2.428087599e-02 1.250000000e-02
3.789305000e+01 1.894652500e-02 2.495794632e-02 1.250000000e-02
3.593980000e+01 1.796990000e-02 2.482688449e-02 1.250000000e-02
3.476785000e+01 1.738392500e-02 2.460567583e-02 1.250000000e-02
3.242395000e+01 1.621197500e-02 2.459292375e-02 1.250000000e-02
3.926032500e+01 1.963016250e-02 2.466115763e-02 1.250000000e-02
5.704950000e+01 2.852475000e-02 2.474341264e-02 1.250000000e-02
5.744025000e+01 2.872012500e-02 2.462296869e-02 1.250000000e-02
